name,size,n,ctime,mtime,atime,level,nls
.,4249931891,22212,2023-07-01 13:57:40,2025-02-01 11:59:57,2025-02-01 12:03:54,0,-1
photosB,1412617,439,2023-12-20 19:37:28,2024-10-16 21:47:49,2024-10-25 10:53:13,1,-1
photosB\_origs.txt,81574,1,2022-08-07 16:34:20,2022-08-07 16:39:50,2024-12-26 10:30:08,2,-1
photosB\_unknown device_,1783,19,2023-12-20 19:37:26,2024-10-16 21:24:27,2024-10-25 10:53:17,2,-1
photosB\_unknown device_\2021,741,8,2023-12-20 19:37:26,2024-10-16 21:26:23,2024-10-27 10:44:15,3,-1
photosB\_unknown device_\2021\10 October,160,2,2023-12-20 19:37:26,2024-10-16 22:38:02,2024-10-27 12:21:08,4,-1
photosB\_unknown device_\2021\10 October\05.10 at 17.19.32.jpeg,64,1,2022-08-07 16:39:16,2023-12-20 19:37:26,2024-11-09 23:10:20,5,-1
photosB\_unknown device_\2021\12 December,161,2,2023-12-20 19:37:26,2024-10-16 22:41:07,2024-10-27 12:21:08,4,-1
photosB\_unknown device_\2021\12 December\17.12 at 17.46.27.jpeg,65,1,2022-08-07 16:39:46,2023-12-20 19:37:26,2024-11-09 23:10:20,5,-1
photosB\_unknown device_\2021\09 September,260,3,2023-12-20 19:37:26,2024-10-16 22:40:48,2024-10-27 12:21:08,4,-1
photosB\_unknown device_\2021\09 September\27.09 at 07.58.49.jpeg,66,1,2022-08-07 16:38:26,2023-12-20 19:37:26,2024-11-09 23:10:20,5,-1
photosB\_unknown device_\2021\09 September\27.09 at 09.06.59.jpeg,66,1,2022-08-07 16:39:06,2023-12-20 19:37:26,2024-11-09 23:10:20,5,-1
photosB\_unknown device_\2022,914,10,2023-12-20 19:37:26,2024-10-16 21:26:23,2024-10-27 10:44:15,3,-1
photosB\_unknown device_\2022\03 March,251,3,2023-12-20 19:37:26,2024-10-16 22:38:45,2024-10-27 12:21:08,4,-1
photosB\_unknown device_\2022\03 March\16.03 at 15.31.13.jpeg,62,1,2022-08-07 16:39:12,2023-12-20 19:37:26,2024-11-09 23:10:23,5,-1
photosB\_unknown device_\2022\03 March\12.03 at 21.10.37.mp4,61,1,2022-08-07 16:38:42,2023-12-20 19:37:26,2024-10-27 12:42:15,5,-1
photosB\_unknown device_\2022\01 January,160,2,2023-12-20 19:37:26,2024-10-16 22:39:10,2024-10-27 12:21:08,4,-1
photosB\_unknown device_\2022\01 January\04.01 at 10.28.36.jpeg,64,1,2022-08-07 16:38:20,2023-12-20 19:37:26,2024-11-09 23:10:23,5,-1
photosB\_unknown device_\2022\06 June,343,4,2023-12-20 19:37:26,2024-10-16 22:41:07,2024-10-27 12:21:08,4,-1
photosB\_unknown device_\2022\06 June\26.06 at 00.10.16.jpeg,61,1,2022-08-07 16:39:16,2023-12-20 19:37:26,2024-11-09 23:10:23,5,-1
photosB\_unknown device_\2022\06 June\26.06 at 00.10.21.jpeg,61,1,2022-08-07 16:38:52,2023-12-20 19:37:26,2024-11-09 23:10:23,5,-1
photosB\_unknown device_\2022\06 June\19.06 at 18.55.55.jpeg,61,1,2022-08-07 16:39:04,2023-12-20 19:37:26,2024-11-09 23:10:23,5,-1
photosB\_filelist.txt,1280917,1,2022-08-07 16:29:18,2022-08-08 13:58:08,2024-12-26 10:30:08,2,-1
photosB\2018,297,3,2023-12-20 19:37:26,2024-10-16 21:25:17,2024-10-25 10:53:16,2,-1
photosB\2018\12 December,201,2,2023-12-20 19:37:26,2024-10-16 21:46:59,2024-10-27 10:45:34,3,-1
photosB\2018\12 December\30.12 at 12.27.44 Papa's iPhone SE (Apple).mov,105,1,2022-08-07 16:38:28,2023-12-20 19:37:26,2024-10-27 12:44:40,4,-1
photosB\2021,9467,72,2023-12-20 19:37:26,2024-10-16 21:25:25,2024-10-25 10:53:16,2,-1
photosB\2021\10 October,1427,11,2023-12-20 19:37:26,2024-10-17 07:47:28,2024-10-27 10:45:34,3,-1
photosB\2021\10 October\10.10 at 15.20.33 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:38:30,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\10 October\10.10 at 01.54.07 Papa's iPhone 11 (Apple).heic,104,1,2022-08-07 16:38:32,2023-12-20 19:37:26,2024-11-07 15:55:38,4,-1
photosB\2021\10 October\09.10 at 21.59.56 Papa's iPhone 11 (Apple).heic,104,1,2022-08-07 16:38:40,2023-12-20 19:37:26,2024-11-07 15:55:38,4,-1
photosB\2021\10 October\05.10 at 17.19.32 _unknown device_.jpeg,104,1,2022-08-07 16:39:16,2023-12-20 19:37:26,2024-11-07 15:55:42,4,-1
photosB\2021\10 October\09.10 at 21.59.55 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:38:40,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\10 October\10.10 at 15.59.44 Papa's iPhone 11 (Apple).heic,104,1,2022-08-07 16:39:04,2023-12-20 19:37:26,2024-11-07 15:55:38,4,-1
photosB\2021\10 October\10.10 at 15.59.43 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:39:04,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\10 October\10.10 at 01.54.07 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:38:32,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\10 October\09.10 at 19.02.50 Papa's iPhone 11 (Apple).mov,103,1,2022-08-07 16:39:42,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\10 October\10.10 at 15.20.33 Papa's iPhone 11 (Apple).heic,104,1,2022-08-07 16:38:28,2023-12-20 19:37:26,2024-11-07 15:55:38,4,-1
photosB\2021\08 August,1975,15,2023-12-20 19:37:26,2024-10-16 22:00:16,2024-10-27 10:45:34,3,-1
photosB\2021\08 August\04.08 at 12.14.06 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:38:34,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\02.08 at 13.06.51 Rado's iPhone SE (2nd generation) (Apple).heic,104,1,2022-08-07 16:38:28,2023-12-20 19:37:26,2024-11-07 15:55:42,4,-1
photosB\2021\08 August\04.08 at 14.51.37 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:38:42,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\10.08 at 17.43.56 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:38:20,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\02.08 at 13.08.18 Rado's iPhone SE (2nd generation) (Apple).mov,103,1,2022-08-07 16:39:22,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\06.08 at 09.12.54 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:39:08,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\02.08 at 13.11.41 Rado's iPhone SE (2nd generation) (Apple).mov,105,1,2022-08-07 16:39:48,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\14.08 at 16.24.58 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:39:32,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\04.08 at 16.35.31 Papa's iPhone 11 (Apple).mov,105,1,2022-08-07 16:38:36,2023-12-20 19:37:26,2024-10-27 12:44:35,4,-1
photosB\2021\08 August\04.08 at 14.51.37 Papa's iPhone 11 (Apple).jpeg,104,1,2022-08-07 16:38:42,2023-12-20 19:37:26,2024-11-07 15:55:42,4,-1
