name,size,n,ctime,mtime,atime,level
.,3046656,117,2025-02-07 18:01:48,2025-02-08 16:43:14,2025-02-08 16:44:40,0
main.py,4151,1,2025-02-07 18:02:26,2025-02-09 11:22:58,2025-02-09 11:23:00,1
test.py,60,1,2025-02-07 21:01:23,2025-02-07 21:01:39,2025-02-07 21:02:17,1
timeline,21247,10,2025-02-07 21:08:11,2025-02-08 11:06:19,2025-02-08 11:06:19,1
timeline/2025-02-07.csv,2182,1,2025-02-07 21:08:11,2025-02-08 11:06:19,2025-02-08 12:27:58,2
timeline/2025-02-02.csv,1704,1,2025-02-07 21:08:11,2025-02-08 11:06:19,2025-02-08 12:27:59,2
timeline/2025-02-01.csv,1974,1,2025-02-07 21:08:11,2025-02-08 11:06:19,2025-02-08 12:28:00,2
timeline/2024-10-27.csv,10175,1,2025-02-07 21:08:11,2025-02-08 11:06:19,2025-02-08 12:27:59,2
timeline/2024-11-02.csv,3887,1,2025-02-07 21:15:32,2025-02-08 11:06:19,2025-02-08 12:27:59,2
timeline/2024-10-05.csv,151,1,2025-02-07 21:15:32,2025-02-08 11:06:19,2025-02-08 12:27:59,2
timeline/2024-10-14.csv,151,1,2025-02-07 21:15:32,2025-02-08 11:06:19,2025-02-08 12:27:59,2
timeline/2024-10-24.csv,175,1,2025-02-07 21:15:32,2025-02-08 11:06:19,2025-02-08 12:27:59,2
cal_n.py,436,1,2025-02-08 10:53:07,2025-02-08 11:03:59,2025-02-08 12:27:58,1
a,128,3,2025-02-08 10:58:32,2025-02-08 10:58:36,2025-02-08 10:58:57,1
d,128,3,2025-02-08 10:58:32,2025-02-08 10:58:36,2025-02-08 10:58:57,1
a/b,0,1,2025-02-08 10:58:34,2025-02-08 10:58:34,2025-02-08 10:58:34,2
d/b,0,1,2025-02-08 10:58:34,2025-02-08 10:58:34,2025-02-08 10:58:34,2
d/c,0,1,2025-02-08 10:58:36,2025-02-08 10:58:36,2025-02-08 10:58:36,2
a/c,0,1,2025-02-08 10:58:36,2025-02-08 10:58:36,2025-02-08 10:58:36,2
timeline/2025-02-08.csv,496,1,2025-02-08 11:06:19,2025-02-08 11:06:19,2025-02-08 12:27:58,2
test.ipynb,15788,1,2025-02-08 11:34:54,2025-02-09 11:14:44,2025-02-09 11:14:44,1
columns.csv,524,1,2025-02-08 11:54:52,2025-02-08 12:19:50,2025-02-09 10:16:26,1
test.txt,999499,1,2025-02-08 12:46:48,2025-02-08 16:09:58,2025-02-09 11:00:20,1
.git/objects/pack,64,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/info/exclude,240,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/hooks/sendemail-validate.sample,2308,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/info,336,2,2025-02-08 14:52:57,2025-02-08 14:53:00,2025-02-08 16:22:37,2
.git/config,137,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,2
.git/objects/info,64,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/description,73,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,2
.git/hooks/commit-msg.sample,896,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/hooks/pre-rebase.sample,4898,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/objects,1963871,59,2025-02-08 14:52:57,2025-02-09 11:22:31,2025-02-09 11:23:09,2
.git/hooks/pre-commit.sample,1649,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/HEAD,21,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,2
.git/hooks/fsmonitor-watchman.sample,4726,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/FETCH_HEAD,0,1,2025-02-08 14:52:57,2025-02-09 11:22:31,2025-02-08 14:52:57,2
.git/refs,329,4,2025-02-08 14:52:57,2025-02-08 14:52:59,2025-02-08 14:53:10,2
.git/refs/tags,64,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/hooks/applypatch-msg.sample,478,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/hooks,26339,15,2025-02-08 14:52:57,2025-02-08 14:53:00,2025-02-08 16:23:08,2
.git/hooks/push-to-checkout.sample,2783,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/hooks/update.sample,3650,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
.git/refs/heads,137,2,2025-02-08 14:52:57,2025-02-09 11:00:37,2025-02-09 11:00:41,3
.git/hooks/pre-applypatch.sample,424,1,2025-02-08 14:52:57,2025-02-08 14:52:57,2025-02-08 14:52:57,3
